Time,Latitude,Longitude,Course,kts,mph,AltitudeFeet,Reporting Facility
3:44:57 PM,5.2333,-150.8167,218,512,589,36000,Oakland Oceanic
10:47:51 AM,33.7906,-120.0057,263,450,518,21600,FlightAware ADS-B (KSZP)
10:37:09 PM,-36.9813,174.8972,251,157,181,2100,FlightAware ADS-B (AKL / NZAA)
11:08:57 AM,33.2259,-123.1862,244,476,548,34000,FlightAware ADS-B (KSBA)
8:31:59 PM,-26.2246,-173.7068,208,,,37975,FlightAware Approximate
7:49:02 PM,-21.2622,-170.7343,209,,,37975,FlightAware Approximate
9:56:10 PM,-34.7667,179.55,219,491,565,37975,New Zealand
10:35:42 PM,-36.9593,174.9764,251,189,217,3125,FlightAware ADS-B (AKL / NZAA)
6:01:14 PM,-9.4298,-162.5373,219,490,564,37975,FlightAware ADS-B (MHX / NCMH)
11:18:31 AM,32.6305,-124.542,243,487,560,33975,FlightAware ADS-B (KSBA)
12:42:33 PM,25.35,-134.6667,221,500,575,34000,Oakland Oceanic
6:30:55 PM,-12.5669,-165.0283,218,,,37975,FlightAware Approximate
10:33:22 PM,-36.9108,175.1327,248,246,283,4575,FlightAware ADS-B (NZPK)
10:46:19 AM,33.8145,-119.7822,263,437,503,19700,FlightAware ADS-B (KSMO)
10:14:13 PM,-36.1826,177.2587,246,452,520,33300,FlightAware ADS-B (NZRW)
10:35:21 AM,33.9272,-118.514,265,250,288,2650,FlightAware ADS-B (KLAX)
9:32:27 PM,-32.9066,-178.6394,218,,,37975,FlightAware Approximate
7:26:06 PM,-18.629,-169.1577,210,,,37975,FlightAware Approximate
10:48:18 AM,33.7831,-120.0739,264,452,520,22100,FlightAware ADS-B (KLPC)
8:40:03 PM,-27.1651,-174.2611,208,,,37975,FlightAware Approximate
10:36:52 AM,33.9178,-118.651,270,267,307,6525,FlightAware ADS-B (KSNA)
10:39:51 AM,33.902,-118.9326,263,333,383,11625,FlightAware ADS-B (KLAX)
10:18:21 PM,-36.376,176.7078,247,407,468,25675,FlightAware ADS-B (WHK / NZWK)
6:19:33 PM,-11.3414,-164.054,218,,,38000,FlightAware Approximate
